episode,hazard_type,rewards,collisions,hazard_encounters
1,weather_change,-200.0,26,5
2,dynamic_event,-500.0,42,5
3,weather_change,-500.0,42,5
4,static_obstacle,-400.0,38,5
5,weather_change,-400.0,38,5
6,dynamic_event,-400.0,38,5
7,weather_change,-300.0,31,5
8,static_obstacle,-300.0,27,5
9,dynamic_event,-400.0,40,5
10,static_obstacle,-400.0,40,5
11,dynamic_event,-400.0,39,5
12,weather_change,-300.0,28,5
13,static_obstacle,-300.0,29,5
14,static_obstacle,-300.0,37,5
15,dynamic_event,-300.0,30,5
16,weather_change,-500.0,33,5
17,static_obstacle,-300.0,32,5
18,weather_change,-500.0,52,5
19,weather_change,-500.0,57,5
20,static_obstacle,-500.0,58,5
21,weather_change,-500.0,52,5
22,static_obstacle,-500.0,59,5
23,static_obstacle,-500.0,53,5
24,dynamic_event,-500.0,56,5
25,weather_change,-500.0,48,5
26,dynamic_event,-400.0,56,5
27,weather_change,0.0,1,25
28,dynamic_event,-500.0,46,5
29,static_obstacle,-500.0,47,5
30,static_obstacle,-500.0,47,5
31,static_obstacle,-500.0,37,5
32,weather_change,-500.0,42,5
33,dynamic_event,-400.0,38,5
34,static_obstacle,-300.0,26,5
35,static_obstacle,-300.0,29,5
36,dynamic_event,-500.0,47,5
37,static_obstacle,-400.0,38,5
38,static_obstacle,-300.0,41,5
39,weather_change,-400.0,45,5
40,static_obstacle,-300.0,31,5
41,dynamic_event,-400.0,38,5
42,dynamic_event,-400.0,39,5
43,static_obstacle,-400.0,36,5
44,weather_change,-500.0,58,5
45,weather_change,-300.0,38,5
46,static_obstacle,-500.0,54,5
47,dynamic_event,-400.0,48,5
48,dynamic_event,-400.0,53,5
49,dynamic_event,-400.0,50,5
50,dynamic_event,-300.0,36,5
